Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_01_20250302190913.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_02.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_03.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_19.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_20.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_21.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_22.raw
O88602	CCG2_MOUSE	Cacng2	Voltage-dependent calcium channel gamma-2 subunit	11	9	8.32E+06	6.73E+06	6.95E+06	4.74E+06	6.94E+06	6.82E+06	6.61E+06
O88622	PARG_MOUSE	Parg	Poly(ADP-ribose) glycohydrolase	22	22	1.07E+07	1.19E+07	1.11E+07	8.08E+06	1.23E+07	1.27E+07	1.31E+07
O88623;O88623-2;O88623-4	UBP2_MOUSE	Usp2	Ubiquitin carboxyl-terminal hydrolase 2	3	3	342916	371872	381653	349946	249063	381290	424659
O88630	GOSR1_MOUSE	Gosr1	Golgi SNAP receptor complex member 1	11	11	2.63E+06	2.50E+06	2.36E+06	1.78E+06	2.56E+06	2.75E+06	2.82E+06
O88643	PAK1_MOUSE	Pak1	Serine/threonine-protein kinase PAK 1	16	16	5.86E+08	5.20E+08	5.59E+08	3.96E+08	5.34E+08	6.21E+08	5.73E+08
O88653	LTOR3_MOUSE	Lamtor3	Ragulator complex protein LAMTOR3	6	6	1.80E+07	1.67E+07	1.79E+07	1.28E+07	1.98E+07	2.26E+07	2.12E+07
O88665	BRD7_MOUSE	Brd7	Bromodomain-containing protein 7	8	8	1.03E+06	1.20E+06	1.07E+06	779846	1.35E+06	1.52E+06	1.32E+06
O88668	CREG1_MOUSE	Creg1	Protein CREG1	2	2	829297	1.07E+06	1.11E+06	956275	1.31E+06	1.15E+06	1.29E+06
O88673	DGKA_MOUSE	Dgka	Diacylglycerol kinase alpha	3	3	32374.9	53542.1	57686.8	25003.5	35838.5	47110.2	56382.5
O88685	PRS6A_MOUSE	Psmc3	26S proteasome regulatory subunit 6A	31	31	4.13E+07	4.38E+07	4.31E+07	3.30E+07	4.67E+07	4.64E+07	4.76E+07
O88689	PCDA4_MOUSE	Pcdha4	Protocadherin alpha-4	12	2	2.86E+06	2.64E+06	2.71E+06	1.93E+06	2.52E+06	3.32E+06	3.21E+06
O88693	CEGT_MOUSE	Ugcg	Ceramide glucosyltransferase	6	6	4.50E+06	4.16E+06	4.19E+06	2.73E+06	4.22E+06	4.69E+06	4.56E+06
O88696	CLPP_MOUSE	Clpp	"ATP-dependent Clp protease proteolytic subunit, mitochondrial"	10	10	2.17E+07	2.35E+07	2.39E+07	1.77E+07	2.65E+07	2.51E+07	2.68E+07
O88697	STK16_MOUSE	Stk16	Serine/threonine-protein kinase 16	7	7	537800	450873	378899	321431	458804	460386	500264
O88703	HCN2_MOUSE	Hcn2	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2	24	22	7.94E+06	6.40E+06	6.94E+06	5.11E+06	7.02E+06	6.61E+06	6.95E+06
O88704	HCN1_MOUSE	Hcn1	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1	36	26	2.16E+07	1.87E+07	1.98E+07	1.27E+07	1.90E+07	2.03E+07	2.06E+07
O88705	HCN3_MOUSE	Hcn3	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3	18	18	3.20E+06	3.50E+06	3.41E+06	2.39E+06	3.23E+06	3.72E+06	3.09E+06
O88708	ORC4_MOUSE	Orc4	Origin recognition complex subunit 4	5	5	120015	105718	121268	58925.3	128505	105853	128842
O88712;O88712-2	CTBP1_MOUSE	Ctbp1	C-terminal-binding protein 1	24	16	1.28E+08	1.26E+08	1.28E+08	9.11E+07	1.29E+08	1.42E+08	1.37E+08
O88735-2	MAP7_MOUSE	Map7	Isoform 2 of Ensconsin	29	29	2.31E+07	2.19E+07	2.10E+07	1.66E+07	2.37E+07	2.58E+07	2.39E+07
O88736	DHB7_MOUSE	Hsd17b7	3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7	11	11	4.80E+06	4.92E+06	5.07E+06	3.76E+06	6.10E+06	5.85E+06	6.84E+06
O88737	BSN_MOUSE	Bsn	Protein bassoon	227	226	6.74E+07	6.71E+07	6.70E+07	4.71E+07	6.64E+07	7.30E+07	7.16E+07
O88738;O88738-2;O88738-3	BIRC6_MOUSE	Birc6	Baculoviral IAP repeat-containing protein 6	126	126	1.57E+08	1.54E+08	1.51E+08	1.18E+08	1.75E+08	1.78E+08	1.75E+08
O88741	GDAP1_MOUSE	Gdap1	Ganglioside-induced differentiation-associated protein 1	18	18	6.27E+07	6.60E+07	6.49E+07	4.86E+07	7.10E+07	6.80E+07	6.95E+07
O88745	SCRG1_MOUSE	Scrg1	Scrapie-responsive protein 1	6	6	1.88E+07	1.81E+07	1.77E+07	1.19E+07	1.66E+07	1.90E+07	2.04E+07
O88746	TOM1_MOUSE	Tom1	Target of Myb1 membrane trafficking protein	20	20	2.54E+07	2.69E+07	2.75E+07	2.06E+07	2.82E+07	3.05E+07	3.07E+07
O88792	JAM1_MOUSE	F11r	Junctional adhesion molecule A	5	5	2.23E+06	2.03E+06	1.80E+06	1.29E+06	1.83E+06	2.17E+06	2.32E+06
O88796	RPP30_MOUSE	Rpp30	Ribonuclease P protein subunit p30	8	8	5.25E+06	4.68E+06	5.24E+06	3.14E+06	5.57E+06	5.94E+06	5.14E+06
O88809	DCX_MOUSE	Dcx	Neuronal migration protein doublecortin	7	7	340433	344516	314811	160742	294264	393600	362175
O88811	STAM2_MOUSE	Stam2	Signal transducing adapter molecule 2	17	17	6.19E+06	6.17E+06	6.60E+06	4.70E+06	6.50E+06	7.42E+06	7.56E+06
O88819	FUT9_MOUSE	Fut9	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase 9	8	8	6.64E+06	4.28E+06	5.89E+06	3.20E+06	4.78E+06	4.92E+06	5.22E+06
O88822	SC5D_MOUSE	Sc5d	Lathosterol oxidase	3	3	807392	542683	898107	514959	1.17E+06	865733	986531
O88824	JTB_MOUSE	Jtb	Protein JTB	1	1	278886	225833	259047	186353	261596	297902	301493
O88829-2;O88829	SIAT9_MOUSE	St3gal5	"Lactosylceramide alpha-2,3-sialyltransferase"	7	7	4.84E+06	4.44E+06	4.93E+06	2.80E+06	4.78E+06	5.03E+06	4.82E+06
O88834;O88834-2	SHD_MOUSE	Shd	SH2 domain-containing adapter protein D	10	10	2.29E+06	2.18E+06	2.24E+06	1.18E+06	2.50E+06	2.55E+06	2.45E+06
O88839	ADA15_MOUSE	Adam15	Disintegrin and metalloproteinase domain-containing protein 15	14	14	893558	961002	1.04E+06	697959	835400	1.16E+06	1.33E+06
O88842	FGD3_MOUSE	Fgd3	"FYVE, RhoGEF and PH domain-containing protein 3"	2	2			86533.9		147328		235009
O88843	CRADD_MOUSE	Cradd	Death domain-containing protein CRADD	5	5	4.09E+06	6.34E+06	4.44E+06	4.79E+06	8.66E+06	6.50E+06	7.62E+06
O88844	IDHC_MOUSE	Idh1	Isocitrate dehydrogenase [NADP] cytoplasmic	34	33	7.86E+07	8.68E+07	8.63E+07	6.43E+07	9.89E+07	9.56E+07	9.89E+07
O88845	AKA10_MOUSE	Akap10	"A-kinase anchor protein 10, mitochondrial"	34	34	2.20E+07	2.26E+07	2.39E+07	1.61E+07	2.37E+07	2.46E+07	2.43E+07
O88848	ARL6_MOUSE	Arl6	ADP-ribosylation factor-like protein 6	12	12	3.90E+06	4.48E+06	4.58E+06	3.06E+06	4.75E+06	4.86E+06	5.13E+06
O88851	RBBP9_MOUSE	Rbbp9	Putative hydrolase RBBP9	12	12	3.10E+07	3.70E+07	3.32E+07	2.76E+07	4.33E+07	4.32E+07	4.21E+07
O88852	TSYL1_MOUSE	Tspyl1	Testis-specific Y-encoded-like protein 1	7	7	1.17E+06	1.09E+06	1.21E+06	1.02E+06	1.49E+06	1.73E+06	1.63E+06
O88866	HUNK_MOUSE	Hunk	Hormonally up-regulated neu tumor-associated kinase	2	2	551215	626606		493490	795445		
O88874	CCNK_MOUSE	Ccnk	Cyclin-K	9	9	1.26E+07	1.41E+07	1.31E+07	8.09E+06	1.34E+07	1.39E+07	1.32E+07
O88876	DHRS3_MOUSE	Dhrs3	Short-chain dehydrogenase/reductase 3	5	5	1.75E+06	2.25E+06	2.58E+06	1.40E+06	3.08E+06	2.33E+06	3.43E+06
O88878	ZFAN5_MOUSE	Zfand5	AN1-type zinc finger protein 5	7	6	3.44E+06	3.02E+06	3.57E+06	2.41E+06	2.66E+06	3.68E+06	3.55E+06
O88879	APAF_MOUSE	Apaf1	Apoptotic protease-activating factor 1	7	7	312323	407613	350490	335087	709805	624363	694536
O88888	APBA3_MOUSE	Apba3	Amyloid-beta A4 precursor protein-binding family A member 3	4	4	966005	857826	961141	632795	1.07E+06	889291	1.11E+06
O88895	HDAC3_MOUSE	Hdac3	Histone deacetylase 3	11	11	617296	636827	574874	406934	623531	684161	723405
O88907	PIAS1_MOUSE	Pias1	E3 SUMO-protein ligase PIAS1	7	6	2.20E+06	2.33E+06	1.87E+06	1.53E+06	1.97E+06	2.47E+06	2.62E+06
O88909	S22A8_MOUSE	Slc22a8	Organic anion transporter 3	3	3	83507.9	97469.3	75285.3		89699.9	97921	191431
O88910	MPP3_MOUSE	Mpp3	MAGUK p55 subfamily member 3	37	37	3.50E+07	3.37E+07	3.25E+07	2.64E+07	3.71E+07	3.91E+07	3.64E+07
O88935	SYN1_MOUSE	Syn1	Synapsin-1	72	68	2.66E+09	2.40E+09	2.54E+09	1.78E+09	2.42E+09	2.71E+09	2.66E+09
O88935-1	SYN1_MOUSE	Syn1	Isoform Ib of Synapsin-1	3	3	3.08E+08	2.40E+08	2.64E+08	1.03E+08	1.45E+08	2.48E+08	2.23E+08
O88939	ZBT7A_MOUSE	Zbtb7a	Zinc finger and BTB domain-containing protein 7A	11	11	5.56E+06	5.33E+06	5.70E+06	3.72E+06	6.08E+06	6.20E+06	7.67E+06
O88942;O88942-2;O88942-3	NFAC1_MOUSE	Nfatc1	"Nuclear factor of activated T-cells, cytoplasmic 1"	4	4	246951	344379	220582	239071	336155	326616	375871
O88947	FA10_MOUSE	F10	Coagulation factor X	2	2	54140.1						256591
O88951	LIN7B_MOUSE	Lin7b	Protein lin-7 homolog B	7	7	5.05E+07	4.06E+07	4.65E+07	3.04E+07	4.36E+07	5.00E+07	4.74E+07
O88952	LIN7C_MOUSE	Lin7c	Protein lin-7 homolog C	7	7	7.58E+07	7.89E+07	7.07E+07	5.67E+07	8.37E+07	8.86E+07	9.25E+07
O88958	GNPI1_MOUSE	Gnpda1	Glucosamine-6-phosphate isomerase 1	14	12	1.49E+07	1.52E+07	1.46E+07	1.06E+07	1.56E+07	1.60E+07	1.62E+07
O88967	YMEL1_MOUSE	Yme1l1	ATP-dependent zinc metalloprotease YME1L1	22	22	2.50E+06	2.20E+06	2.59E+06	1.72E+06	2.46E+06	2.63E+06	2.45E+06
O88968	TCO2_MOUSE	Tcn2	Transcobalamin-2	4	4	2.54E+06	1.20E+06	2.16E+06	2.19E+06	2.52E+06	3.08E+06	3.14E+06
O88974;O88974-4	SETB1_MOUSE	Setdb1	Histone-lysine N-methyltransferase SETDB1	10	10	1.64E+06	1.25E+06	1.71E+06	1.19E+06	1.57E+06	2.09E+06	2.02E+06
O88983	STX8_MOUSE	Stx8	Syntaxin-8	10	10	3.32E+06	3.65E+06	3.79E+06	3.02E+06	3.83E+06	4.42E+06	4.32E+06
O88986	KBL_MOUSE	Gcat	"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial"	16	16	9.91E+06	9.37E+06	9.62E+06	6.67E+06	1.05E+07	1.05E+07	1.11E+07
O88990	ACTN3_MOUSE	Actn3	Alpha-actinin-3	3	3		281997	205664	205362	398987	200565	207535
O88998	NOE1_MOUSE	Olfm1	Noelin	17	17	4.83E+07	4.57E+07	4.42E+07	3.30E+07	4.28E+07	4.80E+07	4.48E+07
O89001	CBPD_MOUSE	Cpd	Carboxypeptidase D	42	42	1.74E+08	1.85E+08	1.84E+08	1.18E+08	2.03E+08	1.95E+08	2.01E+08
O89013	OBRG_MOUSE	Leprot	Leptin receptor gene-related protein	1	1	311940	227060	209573	201668	439376	249710	279534
O89016	ABCD4_MOUSE	Abcd4	Lysosomal cobalamin transporter ABCD4	8	8	1.50E+06	1.90E+06	1.64E+06	1.44E+06	2.01E+06	2.04E+06	1.93E+06
O89017	LGMN_MOUSE	Lgmn	Legumain	7	7	1.12E+07	1.08E+07	1.18E+07	1.11E+07	1.42E+07	1.37E+07	1.41E+07
O89020;O89020-3	AFAM_MOUSE	Afm	Afamin	11	11	3.75E+06		1.77E+06				1.63E+07
O89023	TPP1_MOUSE	Tpp1	Tripeptidyl-peptidase 1	9	9	7.39E+07	7.62E+07	7.73E+07	5.18E+07	7.81E+07	8.96E+07	1.06E+08
O89026	ROBO1_MOUSE	Robo1	Roundabout homolog 1	44	44	1.50E+07	1.63E+07	1.45E+07	1.13E+07	1.45E+07	1.58E+07	1.63E+07
O89029	MATN4_MOUSE	Matn4	Matrilin-4	18	18	4.41E+06	4.98E+06	4.46E+06	2.80E+06	5.11E+06	4.26E+06	4.98E+06
O89032;O89032-2	SPD2A_MOUSE	Sh3pxd2a	SH3 and PX domain-containing protein 2A	39	37	1.61E+07	1.61E+07	1.60E+07	1.20E+07	1.70E+07	1.74E+07	1.76E+07
O89050	MKLN1_MOUSE	Mkln1	Muskelin	29	29	3.60E+06	3.68E+06	3.73E+06	2.58E+06	3.55E+06	3.88E+06	3.60E+06
O89051	ITM2B_MOUSE	Itm2b	Integral membrane protein 2B	11	11	1.06E+07	8.68E+06	7.93E+06	6.27E+06	9.52E+06	1.06E+07	9.51E+06
O89053	COR1A_MOUSE	Coro1a	Coronin-1A	31	30	2.55E+08	2.57E+08	2.47E+08	1.93E+08	2.62E+08	2.96E+08	2.87E+08
O89079	COPE_MOUSE	Cope	Coatomer subunit epsilon	18	18	8.34E+06	7.45E+06	7.97E+06	5.70E+06	9.85E+06	8.87E+06	9.63E+06
O89084	PDE4A_MOUSE	Pde4a	"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"	36	29	3.37E+07	3.33E+07	2.98E+07	2.36E+07	3.40E+07	3.47E+07	3.26E+07
O89086	RBM3_MOUSE	Rbm3	RNA-binding protein 3	9	9	3.77E+07	3.96E+07	2.98E+07	2.68E+07	3.72E+07	3.13E+07	4.60E+07
O89090	SP1_MOUSE	Sp1	Transcription factor Sp1	3	3	36492.1	32258.6	42056.5	21655	44849.1	32713.2	34594.3
O89103	C1QR1_MOUSE	Cd93	Complement component C1q receptor	5	5	111782	135018	147882	110380	106346	130365	130858
O89104	SYPL2_MOUSE	Sypl2	Synaptophysin-like protein 2	2	2	52514	53036.2	56769.4	31588.1	56980.7	38312.3	48213.6
O89106	FHIT_MOUSE	Fhit	Bis(5'-adenosyl)-triphosphatase	10	10	4.01E+06	4.01E+06	3.80E+06	3.02E+06	4.62E+06	4.14E+06	4.31E+06
O89110	CASP8_MOUSE	Casp8	Caspase-8	6	6	913664	672217	636767	556270	1.21E+06		805916
O89112	LANC1_MOUSE	Lancl1	Glutathione S-transferase LANCL1	20	20	6.66E+07	7.23E+07	6.92E+07	5.29E+07	7.54E+07	7.95E+07	7.89E+07
O89114	DNJB5_MOUSE	Dnajb5	DnaJ homolog subfamily B member 5	18	18	1.67E+07	1.60E+07	1.37E+07	1.32E+07	1.68E+07	1.87E+07	1.93E+07
O89116	VTI1A_MOUSE	Vti1a	Vesicle transport through interaction with t-SNAREs homolog 1A	13	13	4.74E+07	5.05E+07	5.31E+07	4.19E+07	5.71E+07	6.13E+07	6.68E+07
P00158	CYB_MOUSE	Mt-Cyb	Cytochrome b	3	3	8.56E+06	4.87E+06	4.94E+06	4.67E+06	7.72E+06	7.13E+06	5.25E+06
P00329	ADH1_MOUSE	Adh1	Alcohol dehydrogenase 1	8	8	263264	268543	210343	271759	572384	266636	410618
P00375	DYR_MOUSE	Dhfr	Dihydrofolate reductase	7	7	1.64E+06	1.59E+06	1.42E+06	1.32E+06	1.62E+06	1.67E+06	1.95E+06
P00397	COX1_MOUSE	Mtco1	Cytochrome c oxidase subunit 1	3	3	3.94E+07	3.67E+07	3.27E+07	2.11E+07	4.05E+07	4.04E+07	3.16E+07
P00405	COX2_MOUSE	Mtco2	Cytochrome c oxidase subunit 2	7	7	1.78E+09	1.46E+09	1.63E+09	1.57E+09	1.91E+09	1.40E+09	1.33E+09
P00416	COX3_MOUSE	mt-Co3	Cytochrome c oxidase subunit 3	1	1	6.10E+07	3.79E+07	4.41E+07	2.67E+07	4.87E+07	4.18E+07	3.85E+07
P00493	HPRT_MOUSE	Hprt1	Hypoxanthine-guanine phosphoribosyltransferase	13	13	9.06E+07	9.30E+07	8.97E+07	6.80E+07	1.02E+08	1.08E+08	1.04E+08
P00520-4	ABL1_MOUSE	Abl1	Isoform IV of Tyrosine-protein kinase ABL1	23	23	3.92E+06	3.74E+06	3.86E+06	2.57E+06	3.37E+06	4.42E+06	3.95E+06
P00848	ATP6_MOUSE	Mtatp6	ATP synthase subunit a	2	2	6.49E+06	4.83E+06	4.69E+06	3.52E+06	4.59E+06	4.10E+06	2.78E+06
P00920	CAH2_MOUSE	Ca2	Carbonic anhydrase 2	16	16	5.98E+08	5.41E+08	4.68E+08	3.69E+08	5.24E+08	5.87E+08	5.65E+08
P01027	CO3_MOUSE	C3	Complement C3	64	64	3.12E+06	1.14E+06	1.74E+06	2.30E+06	1.82E+06	1.75E+06	1.19E+07
P01029	CO4B_MOUSE	C4b	Complement C4-B	51	51	1.98E+07	2.25E+07	1.71E+07	1.90E+07	2.29E+07	2.51E+07	3.72E+07
P01592	IGJ_MOUSE	Jchain	Immunoglobulin J chain	2	2			340507	294332		140407	1.37E+06
P01631	KV2A7_MOUSE		Ig kappa chain V-II region 26-10	2	2		280668	510148	334747	400184	405049	923521
P01633	KV5A1_MOUSE	Igkv6-17	Immunoglobulin kappa chain variable 6-17	2	2			182491			430874	492942
P01635	KV5A3_MOUSE	Igkv12-41	Immunoglobulin kappa chain variable 12-41 (Fragment)	2	2	331921		791306	302145		224212	468861
P01636	KV5A4_MOUSE		Ig kappa chain V-V region MOPC 149	1	1			901240		295772		
P01638	KV5A6_MOUSE		Ig kappa chain V-V region L6 (Fragment)	1	0							405537
P01644;P01645	KV5AB_MOUSE;KV5AC_MOUSE		Ig kappa chain V-V region HP R16.7	4	0		250669	618254	410400		1.30E+06	1.88E+06
P01654;P01655;P01656;P03977	KV3A1_MOUSE;KV3A2_MOUSE;KV3A3_MOUSE;KV3A4_MOUSE		Ig kappa chain V-III region PC 2880/PC 1229	1	0		4176.95	14593.5	7221.11			37650.6
P01660	KV3A8_MOUSE		Ig kappa chain V-III region PC 3741/TEPC 111	2	1	234139	162229	406906	151662		151894	710889
P01662;P01663	KV3AA_MOUSE;KV3AB_MOUSE		Ig kappa chain V-III region ABPC 22/PC 9245	1	0							
P01680	KV4A1_MOUSE		Ig kappa chain V-IV region S107B	1	1	325724			346816			566097
P01741	HVM00_MOUSE		Ig heavy chain V region	1	1							604125
P01750;P01754;P06328	HVM06_MOUSE;HVM10_MOUSE;HVM49_MOUSE	Ighv1-62-3;Ighv1-72	Ig heavy chain V region 102	1	0							1.06E+06
P01801	HVM32_MOUSE		Ig heavy chain V-III region J606	3	1	47938.6			33136.5	16464.8		74790.4
P01807;P01806;P01808;P01810	HVM36_MOUSE;HVM37_MOUSE;HVM38_MOUSE;HVM40_MOUSE		Ig heavy chain V region 441	1	0							
P01819;P01820	HVM43_MOUSE;HVM44_MOUSE		Ig heavy chain V region MOPC 141	1	0							
P01831	THY1_MOUSE	Thy1	Thy-1 membrane glycoprotein	11	11	2.17E+09	2.22E+09	2.04E+09	1.61E+09	2.14E+09	2.05E+09	2.12E+09
P01837	IGKC_MOUSE	Igkc	Immunoglobulin kappa constant	7	7	9.36E+06	5.80E+06	1.64E+07	1.13E+07	7.20E+06	1.69E+07	3.41E+07
P01843	LAC1_MOUSE		Ig lambda-1 chain C region	2	2	35393.2	27551.1	70635.2	91927.7	40749.8	30657.2	140772
P01844	LAC2_MOUSE	Iglc2	Ig lambda-2 chain C region	2	1							
P01864	GCAB_MOUSE		Ig gamma-2A chain C region secreted form	5	4	6.04E+06	5.21E+06	1.48E+07	6.32E+06	4.74E+06	1.24E+07	2.18E+07
P01867;P01867-2	IGG2B_MOUSE	Ighg2b	Immunoglobulin heavy constant gamma 2B	9	9	1.36E+07	7.14E+06	4.03E+07	2.51E+07	8.41E+06	4.71E+07	6.09E+07
P01869;P01868	IGH1M_MOUSE;IGHG1_MOUSE	Ighg1	Ig gamma-1 chain C region secreted form	4	0	227764	245189	250052	399584	282618		1.04E+06
P01872;P01872-2	IGHM_MOUSE	Ighm	Immunoglobulin heavy constant mu	17	17	8.04E+06	2.47E+06	1.02E+07	2.62E+06	5.33E+06	5.76E+06	4.43E+07
P01878	IGHA_MOUSE		Ig alpha chain C region	3	3	324774			577084	332736		659853
P01887	B2MG_MOUSE	B2m	Beta-2-microglobulin	6	6	1.15E+07	1.27E+07	1.29E+07	1.05E+07	1.33E+07	1.33E+07	1.74E+07
P01898	HA10_MOUSE	H2-Q10	"H-2 class I histocompatibility antigen, Q10 alpha chain"	8	5	1.60E+06	1.34E+06	1.21E+06	959360	1.40E+06	1.46E+06	3.62E+06
P01899	HA11_MOUSE	H2-D1	"H-2 class I histocompatibility antigen, D-B alpha chain"	8	2	1.98E+06	2.49E+06	1.92E+06	2.15E+06	3.21E+06	2.88E+06	2.64E+06
P01901	HA1B_MOUSE	H2-K1	"H-2 class I histocompatibility antigen, K-B alpha chain"	10	3	4.68E+06	5.41E+06	5.61E+06	5.02E+06	6.03E+06	6.34E+06	7.07E+06
P01942	HBA_MOUSE	Hba	Hemoglobin subunit alpha	10	10	2.11E+09	1.77E+08	1.22E+09	4.35E+08	7.66E+08	5.49E+08	7.58E+09
P02088	HBB1_MOUSE	Hbb-b1	Hemoglobin subunit beta-1	12	6	1.79E+09	1.55E+08	1.23E+09	4.09E+08	7.41E+08	5.15E+08	7.17E+09
P02301;P84244	H33_MOUSE;H3C_MOUSE	H3-3b;H3-5	Histone H3.3C	12	0	1.04E+09	9.45E+08	9.50E+08	9.21E+08	9.32E+08	1.14E+09	1.11E+09
P02463	CO4A1_MOUSE	Col4a1	Collagen alpha-1(IV) chain	9	9	8.28E+06	7.92E+06	7.21E+06	7.66E+06	8.24E+06	1.03E+07	1.07E+07
P02468	LAMC1_MOUSE	Lamc1	Laminin subunit gamma-1	62	61	1.54E+07	1.43E+07	1.37E+07	1.14E+07	1.48E+07	1.79E+07	1.86E+07
P02469	LAMB1_MOUSE	Lamb1	Laminin subunit beta-1	34	34	1.99E+07	2.25E+07	2.12E+07	1.76E+07	3.16E+07	2.61E+07	2.54E+07
P02535;P02535-2;P02535-3	K1C10_MOUSE	Krt10	"Keratin, type I cytoskeletal 10"	8	5	4.01E+07	3.08E+07	3.35E+07	1.21E+07	1.98E+07	3.74E+07	2.68E+07
P02798	MT2_MOUSE	Mt2	Metallothionein-2	4	4	3.51E+07	3.17E+07	2.54E+07	2.49E+07	2.42E+07	7.51E+07	5.46E+07
P02802	MT1_MOUSE	Mt1	Metallothionein-1	6	6	9.08E+07	8.90E+07	6.34E+07	7.42E+07	6.63E+07	1.68E+08	1.20E+08
P03888	NU1M_MOUSE	Mtnd1	NADH-ubiquinone oxidoreductase chain 1	6	6	4.13E+07	3.07E+07	3.32E+07	2.96E+07	4.39E+07	4.18E+07	4.05E+07
P03893	NU2M_MOUSE	mt-Nd2	NADH-ubiquinone oxidoreductase chain 2	2	2	6.26E+06	3.96E+06	4.92E+06	2.06E+06	3.46E+06	5.20E+06	4.25E+06
P03899	NU3M_MOUSE	mt-Nd3	NADH-ubiquinone oxidoreductase chain 3	1	1	1.33E+07	1.43E+07	1.06E+07	9.62E+06	1.99E+07	1.83E+07	2.25E+07
P03911	NU4M_MOUSE	Mtnd4	NADH-ubiquinone oxidoreductase chain 4	11	11	1.23E+08	1.02E+08	1.05E+08	7.54E+07	1.06E+08	1.02E+08	8.57E+07
P03921	NU5M_MOUSE	Mtnd5	NADH-ubiquinone oxidoreductase chain 5	8	8	5.61E+07	4.85E+07	4.80E+07	3.03E+07	4.29E+07	4.63E+07	4.04E+07
P03930	ATP8_MOUSE	Mtatp8	ATP synthase protein 8	2	2	4.44E+08	3.91E+08	2.88E+08	1.81E+08	3.61E+08	2.96E+08	3.45E+08
P03953;P03953-2	CFAD_MOUSE	Cfd	Complement factor D	2	2					2.08E+06		3.42E+06
P03958	ADA_MOUSE	Ada	Adenosine deaminase	7	7	664381	717463	643751	492784	789783	933790	794453
P03975	IGEB_MOUSE	Iap	IgE-binding protein	17	17	2.57E+06	2.26E+06	2.21E+06	1.67E+06	2.06E+06	2.03E+06	2.79E+06
P03987	IGHG3_MOUSE		Ig gamma-3 chain C region	11	11	1.60E+06	1.53E+06	1.24E+06	576149	1.61E+06	1.03E+06	2.11E+06
P03995	GFAP_MOUSE	Gfap	Glial fibrillary acidic protein	63	55	3.22E+08	3.87E+08	3.20E+08	2.83E+08	4.08E+08	4.29E+08	4.94E+08
P03995-2	GFAP_MOUSE	Gfap	Isoform 2 of Glial fibrillary acidic protein	2	2	234764		208806		353876	256167	561129
P04104	K2C1_MOUSE	Krt1	"Keratin, type II cytoskeletal 1"	9	7	1.15E+08	8.67E+07	1.06E+08	5.41E+07	1.12E+08	1.30E+08	1.06E+08
P04186	CFAB_MOUSE	Cfb	Complement factor B	13	13	587832	455730	459292	476991	468498	480169	1.88E+06
P04247	MYG_MOUSE	Mb	Myoglobin	4	4						545109	1.71E+06
P04370	MBP_MOUSE	Mbp	Myelin basic protein	4	4	1.43E+07	1.74E+07	1.80E+07	1.02E+07	1.61E+07	1.67E+07	2.18E+07
P04370-11	MBP_MOUSE	Mbp	Isoform 11 of Myelin basic protein	3	3	2.19E+07	4.85E+07	2.80E+07	4.73E+07	6.65E+07	4.69E+07	7.64E+07
P04370-4	MBP_MOUSE	Mbp	Isoform 4 of Myelin basic protein	31	31	4.00E+09	3.79E+09	3.12E+09	4.43E+09	5.60E+09	4.60E+09	4.76E+09
P04370-9	MBP_MOUSE	Mbp	Isoform 9 of Myelin basic protein	1	1				1.68E+07	1.27E+07		7.23E+06
P04443	HBB0_MOUSE	Hbb-bh0	Hemoglobin subunit beta-H0	1	0	137813						339492
P04444	HBBZ_MOUSE	Hbb-bh1	Hemoglobin subunit beta-H1	1	0							98744.1
P04627	ARAF_MOUSE	Araf	Serine/threonine-protein kinase A-Raf	13	13	1.15E+07	9.56E+06	9.88E+06	5.76E+06	8.80E+06	1.12E+07	1.01E+07
P04919-2;P04919	B3AT_MOUSE	Slc4a1	Band 3 anion transport protein	20	20	9.67E+06	549592	5.61E+06	1.52E+06	2.84E+06	2.04E+06	2.95E+07
P04925	PRIO_MOUSE	Prnp	Major prion protein	16	16	2.92E+08	2.39E+08	2.54E+08	1.47E+08	2.24E+08	2.75E+08	2.47E+08
