Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_01_20250302190913.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_02.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_03.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_19.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_20.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_21.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_22.raw
Q9WV69	DEMA_MOUSE	Dmtn	Dematin	28	28	6.12E+07	6.01E+07	5.64E+07	4.51E+07	6.43E+07	6.36E+07	6.00E+07
Q9WV70	NOC2L_MOUSE	Noc2l	Nucleolar complex protein 2 homolog	5	5	256148	358520	312378	297328	477857	557764	446631
Q9WV72	ASB3_MOUSE	Asb3	Ankyrin repeat and SOCS box protein 3	6	6	75946.5	117113	84175.6	67463.8	118180	92476	116941
Q9WV74	ASB1_MOUSE	Asb1	Ankyrin repeat and SOCS box protein 1	8	8	1.50E+06	1.38E+06	1.34E+06	860244	1.34E+06	1.45E+06	1.72E+06
Q9WV76	AP4B1_MOUSE	Ap4b1	AP-4 complex subunit beta-1	14	14	7.13E+06	6.58E+06	7.05E+06	5.30E+06	6.72E+06	7.03E+06	7.01E+06
Q9WV80	SNX1_MOUSE	Snx1	Sorting nexin-1	27	25	4.18E+07	4.33E+07	4.14E+07	2.88E+07	4.52E+07	4.59E+07	4.78E+07
Q9WV84	NDKM_MOUSE	Nme4	"Nucleoside diphosphate kinase, mitochondrial"	2	2	36543.3	25929.9	24143.1	22676.1			
Q9WV85	NDK3_MOUSE	Nme3	Nucleoside diphosphate kinase 3	11	11	8.62E+06	9.11E+06	8.45E+06	5.96E+06	1.01E+07	9.05E+06	9.25E+06
Q9WV89;Q9WV89-4;Q9WV89-2	STXB4_MOUSE	Stxbp4	Syntaxin-binding protein 4	11	11	3.70E+06	3.43E+06	4.04E+06	3.21E+06	4.01E+06	4.72E+06	4.22E+06
Q9WV91	FPRP_MOUSE	Ptgfrn	Prostaglandin F2 receptor negative regulator	18	18	2.85E+06	3.18E+06	3.26E+06	2.19E+06	3.51E+06	3.75E+06	4.15E+06
